id,title,description,link,image_link,price,currency,categoryid1,categoryid2,condition,brand,version,country,city,star
5471,"FIBERSTAMP 47 OSTAR","Refitting: INTERNI 2001 ESTERNI 2010 CARENA 2011 Revisione motore 2005",https://www.bandofboats.com/fr/buy/boat/5471,https://cdn.bandofboats.com/aws/3304/29/5471-1.jpg?s=ec03ffdf285b758500882183f751fb21,28200,EUR,Voilier,"Voilier monocoque",Occasion,FIBERSTAMP,"FIBERSTAMP 47 OSTAR",Italie,palermo,0
5473,"PRESTIGE 36 ","Alle Angaben ohne Gewähr",https://www.bandofboats.com/fr/buy/boat/5473,https://cdn.bandofboats.com/aws/3442/151/5473-1.jpg?s=975a6bfa76b5b48007e1447137ce1491,199000,EUR,Moteur,"Vedette Flybridge",Occasion,PRESTIGE,"PRESTIGE 36",Croatie,"seget donji",0
5475,"BAVARIA 38 CRUISER",,https://www.bandofboats.com/fr/buy/boat/5475,https://cdn.bandofboats.com/aws/3471/180/5475-1.jpg?s=03d5b9865224928293faa40f65597187,65000,EUR,Voilier,"Voilier monocoque",Occasion,"BAVARIA YACHTS","BAVARIA 38 CRUISER",Grèce,athens,0
5476,"BAVARIA 40 CRUISER",,https://www.bandofboats.com/fr/buy/boat/5476,https://cdn.bandofboats.com/aws/3471/180/5476-1.jpg?s=6cf50f7aa979c3bbddcc1a771b8772aa,77000,EUR,Voilier,"Voilier monocoque",Occasion,"BAVARIA YACHTS","BAVARIA 40 CRUISER",Grèce,athens,0
5478,"GULFSTAR 60 MK I","This heavily built classic cutter has been meticulously maintained and upgraded throughout the years.  Sudiki truly exhibits the many advantages gained in buying an Owner-Operator Charter Yacht with innovative solutions to reduce the work load of running/living on a boat. Attentive maintenance and usage schedules to preserve the physical and aesthetic qualities of a yacht that both guests and owners desire.   This yacht is consequently close to perfection in every department and the attention to detail is evident throughout.  From the deck lay-out which has been greatly simplified for a minimal crew to the galley’s organization with the important culinary items in easily accessible spaces, Sudiki is truly a gem.    ",https://www.bandofboats.com/fr/buy/boat/5478,https://cdn.bandofboats.com/aws/3303/28/5478-1.jpg?s=913b37e43ff5bbe81467d3290458f43e,199500,USD,Voilier,"Voilier monocoque",Occasion,"GULFSTAR YACHTS","GULFSTAR 60 MK I","St Vincent",grenada,0
5482,"CRANCHI 40 ATLANTIQUE","Imbarcazione in ecellenti condizioni. Secxondo proprietario dal 2010. Sempre rimessaaggio invernale coperto. Completa di generatore ed aria condizionata.SI VALUTANO PERMUTE. Codice scheda: 226862",https://www.bandofboats.com/fr/buy/boat/5482,https://cdn.bandofboats.com/aws/3379/104/5482-1.jpg?s=a86a3726978bef64579e0501998dc5a9,135000,EUR,Moteur,"Vedette Flybridge",Occasion,CRANCHI,"CRANCHI 40 ATLANTIQUE",Italie,toscana,0
5493,"PRINCESS 500 ","The Princess 500 is a stylish flybridge cruiser with classic lines.  Maintained to a very high standard she is presented for sale in excellent condition. Due to a change in family circumstances she has only been lightly used and as such represents great value against a similar sized new purchase.",https://www.bandofboats.com/fr/buy/boat/5493,https://cdn.bandofboats.com/aws/3303/240/5493-1.jpg?s=ab1b4e7be20850cd6f3dc0964906511e,125750,GBP,Moteur,"Vedette Flybridge",Occasion,"PRINCESS YACHTS","PRINCESS 500","Royaume Uni","walton on naze",0
5494,"JEANNEAU 57 ","SICHERHEITSAUSRÜSTUNG: Rettungsinsel, Feststoffwesten, Lifebelts, Rettungsring, UKW-Sprechfunk, Blitzboje, Satz mit Notsignalen, Taschenlampe, Verbandskasten, Notpinne, Treibanker, Bootsmannstuhl, Navigationslichter. NAVIGATION: GPS, Autopilot, Instrumente im Cockpit, Farbplotter, Kartenplotter, Kurzwellenradio, Echolot, Logge, Windmessanlage, Windex, Kompass, Seekarten, Hafenhandbuch, Uhr, Barometer, Fernglas, Handpeil-Kompass, Flaggen QNC, Leuchtfeuerverzeichnis. SONSTIGE AUSSTATTUNG: Bimini-Top, Radio-CD-Spieler, Beiboot, Elektrische Ankerwinde, Warmwasser, Inverter, Stereo-Radio, Kompressorkühlschrank, Cockpittisch, Sonnensegel, Elektrische Bilgenpumpe, Batterieladegerät + Landkabel, Steckdose 12 Volt, Steckdose 220 Volt, Badeleiter, Gangway, Heckdusche, Pantry Komplett, Gasherd mit Backofen, Gasflasche, Bordwerkzeug, Segel Reparatursatz, Amtliches Bootszeugnis, Taucherbrille, Fäkalientank.",https://www.bandofboats.com/fr/buy/boat/5494,https://cdn.bandofboats.com/aws/3381/106/5494-1.jpg?s=cf95f56501321ff173bc7711f340cbfd,399900,EUR,Voilier,"Voilier monocoque",Occasion,JEANNEAU,"JEANNEAU 57",Turquie,marmaris,0
5495,"JEANNEAU 53 ","SICHERHEITSAUSRÜSTUNG: Rettungsinsel, Feststoffwesten, Lifebelts, Rettungsring, UKW-Sprechfunk, Blitzboje, Satz mit Notsignalen, Taschenlampe, Verbandskasten, Notpinne, Treibanker, Bootsmannstuhl, Navigationslichter. NAVIGATION: GPS, Autopilot, Instrumente im Cockpit, Farbplotter, Kartenplotter, Kurzwellenradio, Echolot, Logge, Windmessanlage, Windex, Kompass, Seekarten, Hafenhandbuch, Uhr, Barometer, Fernglas, Handpeil-Kompass, Flaggen QNC, Leuchtfeuerverzeichnis. SONSTIGE AUSSTATTUNG: Bimini-Top, Radio-CD-Spieler, Beiboot, Elektrische Ankerwinde, Warmwasser, Inverter, Stereo-Radio, Kompressorkühlschrank, Cockpittisch, Sonnensegel, Elektrische Bilgenpumpe, Batterieladegerät + Landkabel, Steckdose 12 Volt, Steckdose 220 Volt, Badeleiter, Gangway, Heckdusche, Pantry Komplett, Gasherd mit Backofen, Gasflasche, Bordwerkzeug, Segel Reparatursatz, Amtliches Bootszeugnis, Taucherbrille, Fäkalientank.  ",https://www.bandofboats.com/fr/buy/boat/5495,https://cdn.bandofboats.com/aws/3381/106/5495-1.jpg?s=320229bf586a638c51c1107b3edc7949,219900,EUR,Voilier,"Voilier monocoque",Occasion,JEANNEAU,"JEANNEAU 53",Italie,"castellammare di stabia",0
5496,"ANTARES 980 ","Bateau de première main, propriétaires méticuleux, parfaitement entretenu, très optionné. prêt à partir, place de port possible à Pornic.",https://www.bandofboats.com/fr/buy/boat/5496,https://cdn.bandofboats.com/aws/3344/69/5496-1.jpg?s=37a9f5b9ac80587167abea92cc83bf1a,89000,EUR,Moteur,"Vedette Flybridge",Occasion,BENETEAU,"ANTARES 980",France,pornic,0
5497,"SUN ODYSSEY 45 ","SICHERHEITSAUSRÜSTUNG: Rettungsinsel, Feststoffwesten, Lifebelts, Rettungsring, UKW-Sprechfunk, Blitzboje, Satz mit Notsignalen, Taschenlampe, Verbandskasten, Notpinne, Treibanker, Bootsmannstuhl, Navigationslichter. NAVIGATION: GPS, Autopilot, Instrumente im Cockpit, Farbplotter, Kartenplotter, Kurzwellenradio, Echolot, Logge, Windmessanlage, Windex, Kompass, Seekarten, Hafenhandbuch, Uhr, Barometer, Fernglas, Handpeil-Kompass, Flaggen QNC, Leuchtfeuerverzeichnis. SONSTIGE AUSSTATTUNG: Bimini-Top, Radio-CD-Spieler, Beiboot, Elektrische Ankerwinde, Warmwasser, Inverter, Stereo-Radio, Kompressorkühlschrank, Cockpittisch, Sonnensegel, Elektrische Bilgenpumpe, Batterieladegerät + Landkabel, Steckdose 12 Volt, Steckdose 220 Volt, Badeleiter, Gangway, Heckdusche, Pantry Komplett, Gasherd mit Backofen, Gasflasche, Bordwerkzeug, Segel Reparatursatz, Amtliches Bootszeugnis, Taucherbrille, Fäkalientank.",https://www.bandofboats.com/fr/buy/boat/5497,https://cdn.bandofboats.com/aws/3381/106/5497-1.jpg?s=43e2ce50020770a62a8808191b7bc777,99900,EUR,Voilier,"Voilier monocoque",Occasion,JEANNEAU,"SUN ODYSSEY 45",Grèce,"gouvia marina",0
5498,"ACHILLES 9M ","A well proven offshore cruiser, the Achilles 9m first found fame as a successful OSTAR competitor helmed by its designer Chris Butler. Well suited for family cruising, over 100 of these capable boats were subsequently built. This good example is well presented and ready to sail away",https://www.bandofboats.com/fr/buy/boat/5498,https://cdn.bandofboats.com/aws/3303/240/5498-1.jpg?s=8d380b3d6d1cb8ff90cbf38d9ee8c108,9950,GBP,Voilier,"Voilier monocoque",Occasion,ACHILLES,"ACHILLES 9M","Royaume Uni",levington,0
5500,"INTERMARE 42 ","LEASING IN CORSO; SECONDO PROPRIETARIO; MEDIAZIONE A CARICO ACQUIRENTE SUL PREZZO DEFINITIVO D’ ACQUISTO 5% + IVA; Codice scheda: 187992",https://www.bandofboats.com/fr/buy/boat/5500,https://cdn.bandofboats.com/aws/3379/104/5500-1.jpg?s=64a69dd1ab70542a40dd0754ae87ca86,160000,EUR,Moteur,"Vedette Flybridge",Occasion,INTERMARE,"INTERMARE 42",Italie,sicilia,0
5503,"BAVARIA 44 ",,https://www.bandofboats.com/fr/buy/boat/5503,https://cdn.bandofboats.com/aws/3471/180/5503-1.jpg?s=edcf8c0a2615a00d09c6d316827d79d4,75000,EUR,Voilier,"Voilier monocoque",Occasion,"BAVARIA YACHTS","BAVARIA 44",Grèce,athens,0
5505,"LAGOON 440 ","4 Cab Charter, 2x40 HP, 2 x 250W Solar Panels, Webasto heater 2013.",https://www.bandofboats.com/fr/buy/boat/5505,https://cdn.bandofboats.com/aws/3347/72/5505-1.jpg?s=20d886f467dcc97f434b2aefa94f6d3c,288000,EUR,Voilier,"voilier multicoque",Occasion,LAGOON,"LAGOON 440",Croatie,croatia,0
5509,"SUN ODYSSEY 45 DS","SUN ODYSSEY 45 DS performance (2009) - YANMAR 75 CV (300h)VERSION 2 CABINES - 2 SALLES D'EAU - GV FULL BATTEN - SPI - WINCH ELECTRIQUE - GPS RADAR NAVTEX PILOTE AUTO BATEAU TRES EQUIPE - LOA RECUPERABLE - A VOIR CONTACTER DIRECTEMENT CLÉMENT BERGER : 06 37 01 47 71 NAUTI-CAP CONCESSIONNAIRE JEANNEAU / PRESTIGE A LA GRANDE MOTTE nauticapoccasion@orange.fr",https://www.bandofboats.com/fr/buy/boat/5509,https://cdn.bandofboats.com/aws/3354/79/5509-1.jpg?s=0cf3800b379771ee7999c20101b5fd6c,169000,EUR,Voilier,"Voilier monocoque",Occasion,JEANNEAU,"SUN ODYSSEY 45 DS",France,"la grande motte",0
5511,"ANTARES 10.80 ","Big salon with u-shaped sofas and table at port side. In front chart table. At starboard side complete galley with stove, oven, fridge. In front navigation center with all the electronics. Good bow closed cabin with central double bed and cabinets. At port side, lateral cabin with two big single beds and cabinets. At starboard side complete bathroom, with separated shower zone. Flybridge with navigation center and sun bed. Large cockpit with teak floor and fishing chair (removable). Equipments: Bow thruster, Radar, GPS/Plotter, Professional Depth sounder, Autopilot with remote control, ICOM VHF with DSC, Hydraulic flaps, Electrical windlass, Hot water system, Cockpit teak and swimming platform teak, Fishing chair in cockpit, Out-riggers, canvas for windows. Boat in very good condition. ",https://www.bandofboats.com/fr/buy/boat/5511,https://cdn.bandofboats.com/aws/3376/101/5511-1.jpg?s=a056bb492c1b512d39760b2d090871b6,95000,EUR,Moteur,"Vedette Flybridge",Occasion,BENETEAU,"ANTARES 10.80",Portugal,portugal,0
5513,"SUN WAY 21 ","Voilier de croisière cotière idéal pour une première acquisition",https://www.bandofboats.com/fr/buy/boat/5513,https://cdn.bandofboats.com/aws/3370/95/5513-1.jpg?s=5e68e7ed96bb825086a38933dd853db6,2500,EUR,Voilier,"Voilier monocoque",Occasion,JEANNEAU,"SUN WAY 21",France,brest,0
5514,"EIDER 780 SEA ROVER","VEDETTE TRES CONFORTABLE - 200CV VOLVO DE 780 - HEURES. (COUCHAGE 4 PERS.-CUISINE- FRIGO-RECHAUDWC). - ELECTRONIQUE - GUINDEAU - etc... BATEAU CONCU - POUR LA CROISIERE ET TRES INTERESSANTE POUR LA PECHE - GRACE A SON POSTE DE PILOTAGE EXTERIEUR.",https://www.bandofboats.com/fr/buy/boat/5514,https://cdn.bandofboats.com/aws/3370/95/5514-1.jpg?s=8b954fbf1d463321dab8cc0ee5049598,19000,EUR,Moteur,Timonier,Occasion,"EIDER MARINE","EIDER 780 SEA ROVER",France,brest,0
5516,"SANGERMANI 20 ","2010 : rifacimento totale coperta in teak e tappezzerie interne color panna; MEDIAZIONE 5% + IVA A CARICO ACQUIRENTE SUL PREZZO EFFETTIVO DI VENDITA. Codice scheda: 236697.",https://www.bandofboats.com/fr/buy/boat/5516,https://cdn.bandofboats.com/aws/3379/104/5516-1.jpg?s=b135de66b00c78e6c775318b0c7eb387,490000,EUR,Voilier,"Voilier monocoque",Occasion,SANGERMANI,"SANGERMANI 20",Italie,veneto,0
5517,"FLYER SERIE 5 ","Bateau en excellent état. Quelques aménagement bien pensés et bien réalisés. Pompe eau de mer pour vivier ou rinçage du pont. Plaque de tableau arrière pivotante pour sécuriser ou en faire une table. Bateau sur remorque, prêt àpartir. BATEAU REMOROTISé. OPTIMAX, EN TRèS BON éTAT ET RéVISé. ENTRETIEN RéGULIERPour toutes informations complémentaires :Mr Y. RUMAIN 06 42 48 42 53",https://www.bandofboats.com/fr/buy/boat/5517,https://cdn.bandofboats.com/aws/3370/95/5517-1.jpg?s=2c4a3b7c4d8a5b303781398fe4c46ecb,9500,EUR,Moteur,Daycruiser,Occasion,BENETEAU,"FLYER SERIE 5",France,plougasnou,0
5520,"DORAL 32 PRESTANCIA","DORAL PRESTENCIA 32 (375h) - VOLVO PENTA 2 X 270 CV 5L GXi EXCELLENT ETAT - BATEAU SUIVI ET ENTRETENU PAR PROFESSIONNEL - FULL OPTIONS - GROUPE ELECTROGENE PAGURO 2000 2.5KWA (2013) (2h) GARANTIE 1 AN ",https://www.bandofboats.com/fr/buy/boat/5520,https://cdn.bandofboats.com/aws/3354/79/5520-1.jpg?s=011d2c6266534043acc3bee5e21f06c0,69000,EUR,Moteur,"Vedette Open",Occasion,DORAL,"DORAL 32 PRESTANCIA",France,"la grande motte",0
5521,"PACIFIC CRAFT 545 ","Bateau comme neuf, livraison printemps 2013, une seule saisonrévision faite",https://www.bandofboats.com/fr/buy/boat/5521,https://cdn.bandofboats.com/aws/3440/149/5521-1.jpg?s=41d5a438a9cf81b5b876e5558e2229d1,22500,EUR,Moteur,"Coque Open",Occasion,"PACIFIC CRAFT",545,France,bennecourt,0
5522,"HUDSON 38 PRESENT","Pour toutes informations complémentaires :Mr Y. RUMAIN 06 42 48 42 53",https://www.bandofboats.com/fr/buy/boat/5522,https://cdn.bandofboats.com/aws/3370/95/5522-1.jpg?s=37ed432f4a1639d98ad42eb0e3717393,71250,EUR,Moteur,Trawler,Occasion,HUDSON,"HUDSON 38 PRESENT",France,brest,0
